ID_TYPE_ENTITE	ID_ENTITE 	NOM_COURRIER                                                                              	ID_STATUT_SURV
S             	       700	HINES MASTER FUND MANAGEMENT COMPANY S.A R.L.                                             	C16           
S             	       701	ENERGY ASSET MANAGEMENT S.A R.L.                                                          	C16           
S             	       704	AXA ALTERNATIVE FINANCING MANAGEMENT S.A R.L.                                             	C16           
S             	       708	SWISSCANTO ASSET MANAGEMENT INTERNATIONAL S.A.                                            	C15           
S             	       713	GOODMAN FUNDS MANAGEMENT (LUX) S.A R.L.                                                   	C16           
S             	       715	FUNDER S.A.                                                                               	C15           
S             	       718	VICTORY ASSET MANAGEMENT S.A.                                                             	C15           
S             	       723	CREUTZ & PARTNERS THE ART OF ASSET MANAGEMENT S.A.                                        	C15           
S             	       725	CUBE INFRASTRUCTURE MANAGERS                                                              	C16           
S             	       726	UNICAPITAL INVESTMENTS (MANAGEMENT) S.A.                                                  	C16           
S             	       728	IFP INVESTMENT MANAGEMENT S.A.                                                            	C15           
S             	       732	BELLATRIX ASSET MANAGEMENT S.A.                                                           	C15           
S             	       734	WAYSTONE MANAGEMENT COMPANY (LUX) S.A.                                                    	C15           
S             	       736	FIRST SENTIER INVESTORS (LUXEMBOURG) EDIF I MC S.ÀR.L.                                    	C16           
S             	       741	FERI (LUXEMBOURG) SA                                                                      	C15           
S             	       745	CALIBRIUM MANAGEMENT COMPANY S.A.                                                         	C16           
S             	       747	ASSENAGON ASSET MANAGEMENT S.A.                                                           	C15           
S             	       748	TISHMAN SPEYER EUROPE S.A R.L.                                                            	C16           
S             	       754	SAVILLS INVESTMENT MANAGEMENT (LUXEMBOURG) S.A R.L.                                       	C16           
S             	       755	PROLOGIS MANAGEMENT II S.A R.L.                                                           	C16           
S             	       760	GARBE LUXEMBURG INVESTMENT MANAGEMENT S.À R.L.                                            	C16           
S             	       766	BG FUND MANAGEMENT LUXEMBOURG S.A.                                                        	C15           
S             	       768	INVESCO REAL ESTATE MANAGEMENT S.A R.L.                                                   	C16           
S             	       771	MAIN SOURCE S.A.                                                                          	C16           
S             	       777	OCORIAN FUND MANAGEMENT S.A R.L.                                                          	C15           
S             	       782	LORAC INVESTMENT MANAGEMENT S.A R.L.                                                      	C16           
S             	       785	FONDACO LUX S.A.                                                                          	C15           
S             	       790	MEDIOBANCA MANAGEMENT COMPANY S.A.                                                        	C15           
S             	       791	VECTOR ASSET MANAGEMENT S.A.                                                              	C15           
S             	       803	NEVASTAR FINANCE (LUXEMBOURG) S.A.                                                        	C15           
S             	       804	DINAVEST                                                                                  	C16           
S             	       805	AERIANCE INVESTMENTS S.A R.L.                                                             	C16           
S             	       808	NORTHAM PROPERTY FUNDS MANAGEMENT S.A R.L.                                                	C16           
S             	       810	FUNDPARTNER SOLUTIONS (EUROPE) S.A.                                                       	C15           
S             	       817	CARLISLE MANAGEMENT COMPANY S.C.A.                                                        	C16           
S             	       822	ABRDN INVESTMENTS LUXEMBOURG S.A.                                                         	C15           
S             	       829	NBG ASSET MANAGEMENT LUXEMBOURG                                                           	C15           
S             	       830	HEPP IV MANAGEMENT COMPANY S.A R.L.                                                       	C16           
S             	       835	FUNDROCK LIS S.A.                                                                         	C15           
S             	       841	ANDBANK ASSET MANAGEMENT LUXEMBOURG                                                       	C15           
S             	       842	CARNE GLOBAL FUND MANAGERS (LUXEMBOURG) S.A.                                              	C15           
S             	       847	LHI MANAGEMENT LUXEMBURG S.A.                                                             	C16           
S             	       848	BTG PACTUAL GLOBAL TIMBERLAND FUND MANAGEMENT S.A R.L.                                    	C16           
S             	       850	IRIVEST INVESTMENT MANAGERS                                                               	C15           
S             	       855	PURE CAPITAL S.A.                                                                         	C15           
S             	       856	LOMBARD ODIER FUNDS (EUROPE) S.A.                                                         	C15           
S             	       861	UBS ASSET MANAGEMENT (EUROPE) S.A.                                                        	C15           
S             	       865	VEREF I MANAGEMENT S.A R.L.                                                               	C16           
S             	       867	ETHENEA INDEPENDENT INVESTORS S.A.                                                        	C15           
S             	       871	CYGNUS REAL ESTATE MANAGEMENT COMPANY S.A R.L.                                            	C16           
