name,aum,phone,website
idiCo,1.0,,www.idico.fr
RE-SOURCES CAPITAL,1.0,,www.re-sources-capital.fr
ZENITH AM,1.0,0180980050,www.zenith-am.com
OUEST CROISSANCE GESTION,1.0,,https://www.ouest-croissance.com/
EQUIGEST,1.0,0143126100,www.equigest.fr
UNIGESTION ASSET MANAGEMENT (FRANCE),1.0,0143597373,www.unigestion.com
JUNE REIM,1.0,,https://june-reim.fr
SLATE Venture Capital,1.0,,https://www.slate.vc/
I&P,1.0,01 58 18 57 10,www.ietp.com
UI INVESTISSEMENT,1.0,01 42 56 66 00,www.ui-investissement.com
HUGAU GESTION,1.0,0178098320,http://www.hugau-gestion.com/
ACER FINANCE,1.0,0144550210,www.lb-af.com
ARGOS WITYU,1.0,0153672050,https://argos.wityu.fund
SOFINNOVA PARTNERS,1.0,01 76 23 41 00,www.sofinnovapartners.com
MBO+,1.0,0156641700,www.mbo.plus
IXO PRIVATE EQUITY,1.0,0534417418,www.ixope.fr
ANGELOR,1.0,,https://angelor.fr/
UNIGESTION ASSET MANAGEMENT (FRANCE),1.0,0143597373,www.unigestion.com
JUNE REIM,1.0,,https://june-reim.fr
SLATE Venture Capital,1.0,,https://www.slate.vc/
I&P,1.0,01 58 18 57 10,www.ietp.com
UI INVESTISSEMENT,1.0,01 42 56 66 00,www.ui-investissement.com
HUGAU GESTION,1.0,0178098320,http://www.hugau-gestion.com/
ACER FINANCE,1.0,0144550210,www.lb-af.com
ARGOS WITYU,1.0,0153672050,https://argos.wityu.fund
SOFINNOVA PARTNERS,1.0,01 76 23 41 00,www.sofinnovapartners.com
MBO+,1.0,0156641700,www.mbo.plus
IXO PRIVATE EQUITY,1.0,0534417418,www.ixope.fr
ANGELOR,1.0,,https://angelor.fr/
